Name,ID,Phone Number,Email,Password,Tournaments Created,Weight,Height,Wins,Losses,Ties
ALI,11000000001,+966456878787,stutester@gmail.com,test123,1,90,180,9,8,7
HUSSAIN,11000000002,+966500034712,zayer@hotmail.com,ADMIN123,0,99,190,0,0,0
fasdf,11000000003,fadfa,fasdf,ffs,0,ffdd,asdfasdf,0,0,0
asdf,11000000004,fffds,fasdfasdfdf,ffffssss,0,GG,adfgggg,0,0,0
adsf,11000000005,asdf,zayer2@hotmail.com,123,0,asdf,adsf,0,0,0
MOHSEN,11000000006,+966357951148,email@test.com,teest123,0,78,177,0,0,0
124,11000000007,34,adfg,asdfg,0,edwf,wre,0,0,0
Reda,11000000008,0565354646,yujt@hotmail.com,gr,0,99,177,0,0,0
MOSA,11000000009,123,mosa@gmail.com,123456789,0,200,200,0,0,0
mosa,11000000010,123,123,123,0,123,123,0,0,0
