Name,ID,Phone Number,Email,Password,Tournaments Created,IsAuthorized
tester1,22000000001,+966123456459,testermail@gmail.com,test123,1,true
tester2,22000000002,+966123456559,testermai2l@gmail.com,test123,1,true
adsf,22000000003,adsf,adsfs,asdf,0,true
gtgt,22000000005,gtgt,gtgt,gtgt,0,true
asdf2,22000000006,adsf3,adsf2,asdf3,0,true
fasdf,22000000007,adsf,gato,23rthe,0,true
124,22000000008,124,zzz@hotmail.com,1234,0,true
213r,22000000009,edf,sdf,adsgf,0,true
12r4,22000000010,fesda,adfbgsadf4,aedfgasfg,0,true
21,22000000011,rfgadfg,adfgadfghr,sadfgb23,0,true
124,22000000008,124,zzz@hotmail.com,1234,0,true
213r,22000000009,edf,sdf,adsgf,0,true
12r4,22000000010,fesda,adfbgsadf4,aedfgasfg,0,true
21,22000000011,rfgadfg,adfgadfghr,sadfgb23,0,true
